"_time",host,EventCode,"Account_Name",Privileges
"2018-08-20T16:17:59.000+0100","BGIST-L",4673,"BGIST-L$",SeTcbPrivilege
"2018-08-20T16:17:57.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:17:57.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:17:34.000+0100","FYODOR-L",4673,"FYODOR-L$",SeTcbPrivilege
"2018-08-20T16:17:31.000+0100","PCERF-L",4673,"PCERF-L$",SeTcbPrivilege
"2018-08-20T16:17:24.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:17:15.000+0100","BGIST-L",4673,BruceGist,SeTcbPrivilege
"2018-08-20T16:17:08.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:17:08.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:17:01.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:17:01.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:16:59.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:16:58.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:16:58.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:16:54.000+0100","PCERF-L",4672,SYSTEM,SeAssignPrimaryTokenPrivilege
"2018-08-20T16:16:53.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:16:37.000+0100","BSTOLL-L",4672,SYSTEM,SeAssignPrimaryTokenPrivilege
"2018-08-20T16:16:37.000+0100","BSTOLL-L",4672,SYSTEM,SeAssignPrimaryTokenPrivilege
"2018-08-20T16:16:28.000+0100","BSTOLL-L",4672,SYSTEM,SeAssignPrimaryTokenPrivilege
"2018-08-20T16:16:28.000+0100","BSTOLL-L",4673,BudStoll,SeTcbPrivilege
"2018-08-20T16:16:28.000+0100","BSTOLL-L",4673,BudStoll,SeTcbPrivilege
"2018-08-20T16:16:18.000+0100","BTUN-L",4673,BillyTun,SeTcbPrivilege
"2018-08-20T16:15:55.000+0100","MKRAEUS-L",4673,MalloryKraeusen,SeTcbPrivilege
"2018-08-20T16:15:48.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:15:43.000+0100","BTUN-L",4673,BillyTun,SeTcbPrivilege
"2018-08-20T16:15:08.000+0100","BTUN-L",4673,BillyTun,SeTcbPrivilege
"2018-08-20T16:15:06.000+0100","JWORTOS-L",4673,JeremiahWortoski,SeTcbPrivilege
"2018-08-20T16:14:56.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:14:35.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
"2018-08-20T16:14:35.000+0100","PCERF-L",4673,PeatCerf,SeTcbPrivilege
